id,menu_id,name,description,price,image_url,created_at,profile_image_url,status
66,01afcc7e-e0cb-4d12-8357-8e968b4622e8,CREAMY PASTA,"Spaghetti in cream sauce ",9817,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725975087948.jpeg,2024-09-10 13:31:31.952542,,available
56,01afcc7e-e0cb-4d12-8357-8e968b4622e8,PEPPERED CROAKER FISH,"Peppered fish served with either fried rice or jollof rice ",9240,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725972963848.jpeg,2024-09-10 12:56:23.747166,,available
184,01afcc7e-e0cb-4d12-8357-8e968b4622e8,"CRISPY CHICKEN AND YOGHURT ","Yoghurt and crispy chicken ",6000,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749135629801.jpeg,2025-06-05 15:00:34.40035,,available
160,01afcc7e-e0cb-4d12-8357-8e968b4622e8,JOLLOF RICE,"Rice in tomatoes sauce ",4966,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1727109105133.jpeg,2024-09-23 16:31:49.963434,,available
183,01afcc7e-e0cb-4d12-8357-8e968b4622e8,"FRIED RICE ","Rice and vegetables ",4966,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749135556533.jpeg,2025-06-05 14:59:19.090565,,available
199,01afcc7e-e0cb-4d12-8357-8e968b4622e8,Crispy Fried Chicken with Chips,"Chicken, chips comes with creamy or peppered sauce ",7900,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/menu-images/a889a7f6-948d-4632-a4db-9e57f0ace872.jpg,2025-07-28 17:44:26.590869,,available
55,01afcc7e-e0cb-4d12-8357-8e968b4622e8,"PEPPERED CHICKEN ","Peppered Grilled chicken, served with either fried rice or jollof rice ",9817,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749135387783.jpeg,2024-09-10 12:53:48.019766,,available
61,01afcc7e-e0cb-4d12-8357-8e968b4622e8,"SPICY SHRIMPS ","Shrimp, Chef special tomatoes sauce serve with steam rice ",11550,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1725974673032.jpeg,2024-09-10 13:24:38.474805,,available
158,142c2866-d6c0-4df2-bf3f-65d7caf04b39,"AMAR ","Chocolate cake, served with vanilla ice cream ",6930,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1727108851384.jpeg,2024-09-23 16:27:38.749517,,available
186,142c2866-d6c0-4df2-bf3f-65d7caf04b39,"NET PANCAKES WITH ICE CREAM ","Net pancakes with vanilla ice cream ",6930,https://jackylkenbhvhszghcra.supabase.co/storage/v1/object/public/menu-images/public/73bf3020-60dc-4323-bd09-04313b59a53f-1749136131732.jpeg,2025-06-05 15:08:57.027512,,available
